zone,size,NLDAS_X_Grid,NLDAS_Y_Grid,count,weight,file
11,257,253,157,2,0.00778210116731518,Output/APCPsfc-X253-Y157.txt
11,257,254,155,32,0.124513618677043,Output/APCPsfc-X254-Y155.txt
11,257,254,156,87,0.33852140077821,Output/APCPsfc-X254-Y156.txt
11,257,254,157,3,0.0116731517509728,Output/APCPsfc-X254-Y157.txt
11,257,255,155,18,0.0700389105058366,Output/APCPsfc-X255-Y155.txt
11,257,255,156,52,0.202334630350195,Output/APCPsfc-X255-Y156.txt
12,360,251,154,25,0.0694444444444444,Output/APCPsfc-X251-Y154.txt
12,360,252,154,81,0.225,Output/APCPsfc-X252-Y154.txt
12,360,252,155,16,0.0444444444444444,Output/APCPsfc-X252-Y155.txt
12,360,253,154,74,0.205555555555556,Output/APCPsfc-X253-Y154.txt
12,360,253,155,74,0.205555555555556,Output/APCPsfc-X253-Y155.txt
12,360,254,154,35,0.0972222222222222,Output/APCPsfc-X254-Y154.txt
12,360,254,155,55,0.152777777777778,Output/APCPsfc-X254-Y155.txt
13,267,250,154,13,0.048689138576779,Output/APCPsfc-X250-Y154.txt
13,267,250,155,21,0.0786516853932584,Output/APCPsfc-X250-Y155.txt
13,267,251,154,13,0.048689138576779,Output/APCPsfc-X251-Y154.txt
13,267,251,155,69,0.258426966292135,Output/APCPsfc-X251-Y155.txt
13,267,251,156,2,0.00749063670411985,Output/APCPsfc-X251-Y156.txt
13,267,252,155,84,0.314606741573034,Output/APCPsfc-X252-Y155.txt
13,267,252,156,30,0.112359550561798,Output/APCPsfc-X252-Y156.txt
13,267,253,155,23,0.0861423220973783,Output/APCPsfc-X253-Y155.txt
13,267,253,156,12,0.0449438202247191,Output/APCPsfc-X253-Y156.txt
